timeframe,name,change in price,port,product,std from avg
15d,61%金布巴粉品牌价格：黄骅港（日）,79.0,Huanghua,61%金布巴粉,1.1427756281599692
20d,61%金布巴粉品牌价格：黄骅港（日）,70.0,Huanghua,61%金布巴粉,1.4396403765888064
25d,61%金布巴粉品牌价格：黄骅港（日）,130.0,Huanghua,61%金布巴粉,1.52903840643181
30d,61%金布巴粉品牌价格：黄骅港（日）,168.0,Huanghua,61%金布巴粉,1.5096093279075904
40d,61%金布巴粉品牌价格：黄骅港（日）,178.0,Huanghua,61%金布巴粉,1.6663366080196733
50d,61%金布巴粉品牌价格：黄骅港（日）,178.0,Huanghua,61%金布巴粉,1.8186461991738199
60d,61%金布巴粉品牌价格：黄骅港（日）,223.0,Huanghua,61%金布巴粉,1.9699731318293177
5d,58.5%混合粉品牌价格：黄骅港（日）,22.0,Huanghua,58.5%混合粉,0.6573184240142065
10d,58.5%混合粉品牌价格：黄骅港（日）,70.0,Huanghua,58.5%混合粉,1.0939310229045185
15d,58.5%混合粉品牌价格：黄骅港（日）,90.0,Huanghua,58.5%混合粉,1.3844684953575799
20d,58.5%混合粉品牌价格：黄骅港（日）,80.0,Huanghua,58.5%混合粉,1.688429000704831
25d,58.5%混合粉品牌价格：黄骅港（日）,132.0,Huanghua,58.5%混合粉,1.7904448992897786
30d,58.5%混合粉品牌价格：黄骅港（日）,156.0,Huanghua,58.5%混合粉,1.7879322289716673
40d,58.5%混合粉品牌价格：黄骅港（日）,174.0,Huanghua,58.5%混合粉,1.9038002215476975
50d,58.5%混合粉品牌价格：黄骅港（日）,167.0,Huanghua,58.5%混合粉,2.0908098250660103
60d,58.5%混合粉品牌价格：黄骅港（日）,198.0,Huanghua,58.5%混合粉,2.252349053419132
5d,61%麦克粉品牌价格：黄骅港（日）,4.0,Huanghua,61%麦克粉,0.08032193289026815
10d,61%麦克粉品牌价格：黄骅港（日）,58.0,Huanghua,61%麦克粉,0.8874119674649433
15d,61%麦克粉品牌价格：黄骅港（日）,92.0,Huanghua,61%麦克粉,1.112657726088574
